tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782041849207,15.851,71.0,2500.0,16.44
2,1782041849256,15.139,71.0,2500.1,16.44
3,1782041849310,19.095,71.0,2499.8,15.28
4,1782041849359,17.652,71.0,2500.0,15.28
5,1782041849410,19.221,71.0,2499.7,15.48
6,1782041849457,16.466,71.0,2500.1,15.48
7,1782041849506,15.409,71.0,2500.2,15.32
8,1782041849556,15.695,69.0,2499.9,15.32
9,1782041849608,16.885,71.0,2499.7,13.83
10,1782041849657,16.069,70.0,2499.5,13.83
11,1782041849707,16.381,71.0,2500.8,15.08
12,1782041849759,17.845,71.0,2500.4,15.08
13,1782041849811,20.140,72.0,2499.6,18.11
14,1782041849861,20.149,72.0,2500.1,18.11
15,1782041849912,20.756,74.0,2500.0,18.36
16,1782041849966,25.681,72.0,2500.0,18.36
17,1782041850012,21.326,73.0,2500.1,19.19
18,1782041850064,23.032,73.0,2500.1,19.19
19,1782041850116,25.230,73.0,2499.9,17.86
20,1782041850159,18.135,73.0,2499.6,17.86
21,1782041850208,17.507,72.0,2286.8,19.17
22,1782041850262,21.137,72.0,2499.8,19.17
23,1782041850310,19.532,72.0,2500.6,15.01
24,1782041850359,17.795,71.0,2499.9,15.01
25,1782041850411,20.053,72.0,2075.0,13.81
26,1782041850460,18.941,72.0,2075.2,13.81
27,1782041850510,19.524,72.0,2500.2,14.51
28,1782041850562,21.109,72.0,2500.0,14.51
29,1782041850610,19.372,72.0,2500.0,14.64
30,1782041850661,19.850,72.0,2287.5,14.64
31,1782041850710,18.778,71.0,2500.0,15.17
32,1782041850761,20.058,70.0,2499.7,15.17
33,1782041850812,21.624,71.0,2500.2,14.44
34,1782041850859,18.461,71.0,2287.7,14.44
35,1782041850913,21.747,72.0,2500.0,15.94
36,1782041850962,21.017,73.0,2500.4,15.94
37,1782041851011,19.843,73.0,2500.0,16.37
38,1782041851059,18.110,70.0,2500.1,16.37
39,1782041851112,20.768,70.0,2499.9,16.46
40,1782041851157,16.627,72.0,2499.9,16.46
41,1782041851232,23.728,74.0,2500.0,19.41
42,1782041851260,19.203,73.0,2499.9,19.41
43,1782041851310,19.137,74.0,2500.1,21.44
44,1782041851360,19.626,73.0,2500.2,21.44
45,1782041851408,17.645,73.0,2500.0,16.47
46,1782041851459,17.951,71.0,2500.2,16.47
47,1782041851510,18.945,72.0,2499.8,14.35
48,1782041851560,19.353,74.0,2500.8,14.35
49,1782041851610,19.512,73.0,2500.1,17.31
50,1782041851661,20.374,73.0,2499.7,17.31
51,1782041851708,17.002,73.0,2500.0,16.77
52,1782041851761,19.882,73.0,2499.9,16.77
53,1782041851808,17.473,72.0,2074.7,15.81
54,1782041851862,20.965,72.0,2499.5,15.81
55,1782041851913,22.230,73.0,2500.6,16.98
56,1782041851958,17.143,73.0,2499.3,16.98
57,1782041852007,15.802,73.0,2500.0,17.46
58,1782041852057,16.106,73.0,2499.9,17.46
59,1782041852113,22.633,74.0,2500.0,18.38
60,1782041852159,18.100,72.0,2500.2,18.38
61,1782041852207,16.410,72.0,2499.9,13.70
62,1782041852258,17.094,73.0,2499.4,13.70
63,1782041852310,18.728,73.0,2500.0,15.04
64,1782041852357,16.207,73.0,2500.7,15.04
65,1782041852410,18.927,72.0,2500.1,14.70
66,1782041852460,19.390,72.0,2501.3,14.70
67,1782041852509,18.357,70.0,2500.0,18.07
68,1782041852561,20.058,72.0,2287.2,18.07
69,1782041852611,20.272,73.0,2499.6,17.70
70,1782041852658,17.256,73.0,2500.4,17.70
71,1782041852709,18.553,73.0,2500.4,14.68
72,1782041852763,21.923,73.0,2500.2,14.68
73,1782041852811,20.406,73.0,2500.2,16.92
74,1782041852863,22.174,72.0,2499.9,16.92
75,1782041852912,21.638,69.0,2499.7,14.40
76,1782041852959,17.976,72.0,2287.5,14.40
77,1782041853013,21.868,73.0,2500.0,15.65
78,1782041853067,26.522,74.0,2500.2,15.65
79,1782041853113,22.687,73.0,2500.0,17.64
80,1782041853161,20.171,74.0,2499.8,17.64
81,1782041853211,20.272,73.0,2500.0,17.65
82,1782041853261,19.739,73.0,2499.9,17.65
83,1782041853309,17.926,73.0,2500.4,17.65
84,1782041853359,17.950,72.0,2288.1,17.60
85,1782041853410,18.697,73.0,2287.5,17.60
86,1782041853458,16.962,70.0,2075.0,13.13
87,1782041853510,19.029,72.0,2287.7,13.13
88,1782041853561,20.243,73.0,2499.7,13.64
89,1782041853611,20.109,73.0,2500.9,13.64
90,1782041853658,17.625,73.0,2500.0,14.89
91,1782041853710,19.589,72.0,2500.2,14.89
92,1782041853761,20.462,72.0,2288.0,15.76
93,1782041853810,18.906,75.0,2500.1,15.76
94,1782041853860,19.334,71.0,2500.6,18.66
95,1782041853913,22.642,70.0,2499.8,18.66
96,1782041853962,20.703,71.0,2500.0,16.28
97,1782041854013,22.508,72.0,2499.9,16.28
98,1782041854061,19.822,71.0,2499.9,21.29
99,1782041854114,23.328,70.0,2500.0,21.29
100,1782041854158,16.813,70.0,2499.8,16.94
101,1782041854210,19.050,71.0,2499.8,16.94
102,1782041854259,18.128,70.0,2499.6,16.21
103,1782041854313,22.354,71.0,2500.0,16.21
104,1782041854360,19.453,69.0,2074.9,16.10
105,1782041854409,18.056,70.0,2500.3,16.10
106,1782041854461,19.835,70.0,2499.8,13.71
107,1782041854511,20.500,70.0,2500.1,13.71
108,1782041854563,21.766,71.0,2499.9,17.80
109,1782041854613,22.102,71.0,2500.0,17.80
110,1782041854662,21.375,71.0,2499.8,17.46
111,1782041854711,19.750,71.0,2499.9,17.46
112,1782041854759,18.303,71.0,2287.6,17.33
113,1782041854811,20.408,74.0,2500.0,17.33
114,1782041854862,21.201,74.0,2500.0,17.70
115,1782041854911,20.639,74.0,2500.0,17.70
116,1782041854959,18.416,73.0,2499.8,17.30
117,1782041855010,19.119,74.0,2500.0,17.30
118,1782041855061,20.205,74.0,2500.0,18.19
119,1782041855114,23.029,73.0,2500.0,18.19
120,1782041855188,47.547,74.0,2500.0,17.78
121,1782041855242,50.768,73.0,2500.0,26.38
122,1782041855272,29.671,75.0,2500.0,26.38
123,1782041855342,51.437,73.0,2500.0,25.17
124,1782041855376,32.669,75.0,2500.0,25.17
125,1782041855431,39.450,72.0,2499.9,24.75
126,1782041855464,23.322,74.0,2500.0,24.75
127,1782041855515,23.744,76.0,2500.0,24.75
128,1782041855564,23.034,76.0,2500.0,24.02
129,1782041855618,26.793,76.0,2500.0,24.02
130,1782041855663,21.951,77.0,2500.1,25.16
131,1782041855712,20.717,77.0,2500.0,25.16
132,1782041855762,20.984,77.0,2500.0,24.71
133,1782041855813,21.947,77.0,2500.0,24.71
134,1782041855865,24.529,75.0,2500.3,22.52
135,1782041855919,28.159,75.0,2499.8,22.52
136,1782041855964,23.665,75.0,2500.0,26.07
137,1782041856012,21.316,75.0,2500.1,26.07
138,1782041856062,21.341,76.0,2500.0,25.75
139,1782041856119,28.179,77.0,2500.0,25.75
140,1782041856164,23.628,77.0,2500.1,27.83
141,1782041856213,22.585,77.0,2500.1,27.83
142,1782041856264,23.376,77.0,2500.0,26.67
143,1782041856334,43.332,74.0,2500.0,26.94
144,1782041856368,27.000,76.0,2500.3,26.94
145,1782041856414,22.796,76.0,2500.0,26.94
146,1782041856460,19.109,76.0,2499.4,24.49
147,1782041856515,24.646,75.0,2500.0,24.49
148,1782041856561,20.497,76.0,2500.1,24.89
149,1782041856614,23.565,77.0,2500.0,24.89
150,1782041856666,24.728,76.0,2500.0,25.39
151,1782041856712,21.520,75.0,2499.6,25.39
152,1782041856765,24.328,75.0,2500.3,25.27
153,1782041856814,23.342,75.0,2500.0,25.27
154,1782041856864,22.756,76.0,2500.0,25.80
155,1782041856916,25.585,76.0,2500.0,25.80
156,1782041856970,29.083,75.0,2499.5,25.85
157,1782041857015,24.047,75.0,2499.9,25.85
158,1782041857074,32.849,76.0,2500.0,25.08
159,1782041857112,21.504,76.0,2500.0,25.08
160,1782041857161,20.408,76.0,2500.0,27.15
161,1782041857210,19.166,76.0,2500.0,27.15
162,1782041857263,22.107,75.0,2500.0,25.49
163,1782041857313,22.439,76.0,2500.0,25.49
164,1782041857361,20.638,75.0,2500.0,24.81
165,1782041857415,24.744,75.0,2500.0,24.81
166,1782041857475,34.075,77.0,2500.0,25.49
167,1782041857522,31.181,77.0,2500.0,25.49
168,1782041857570,29.286,77.0,2500.0,28.12
169,1782041857620,29.566,77.0,2500.0,28.12
170,1782041857665,24.655,77.0,2500.0,27.68
171,1782041857755,63.984,77.0,2499.9,27.85
172,1782041857776,21.184,77.0,2500.0,27.85
173,1782041857815,24.134,78.0,2500.2,27.85
174,1782041857870,29.598,78.0,2500.0,26.30
175,1782041857946,53.610,77.0,2500.2,25.99
176,1782041857966,19.151,76.0,2500.5,25.99
177,1782041858011,19.719,77.0,2500.0,25.99
178,1782041858060,18.791,77.0,2500.0,25.61
179,1782041858112,20.876,76.0,2499.9,25.61
180,1782041858164,22.971,77.0,2500.0,25.27
181,1782041858219,27.913,76.0,2499.8,25.27
182,1782041858262,21.393,77.0,2499.9,25.20
183,1782041858316,24.917,77.0,2500.1,25.20
184,1782041858364,23.185,76.0,2499.8,24.60
185,1782041858412,21.391,75.0,2500.1,24.60
186,1782041858462,21.631,75.0,2500.0,20.11
187,1782041858512,21.264,72.0,2500.0,20.11
188,1782041858559,17.963,74.0,2500.2,15.49
189,1782041858611,19.984,74.0,2500.5,15.49
190,1782041858662,20.700,74.0,2500.0,15.75
191,1782041858713,21.793,75.0,2500.0,15.75
192,1782041858762,20.848,74.0,2499.8,17.79
193,1782041858815,24.288,74.0,2499.9,17.79
194,1782041858864,23.305,72.0,2499.7,16.26
195,1782041858913,22.545,73.0,2500.0,16.26
196,1782041858963,22.524,73.0,2499.5,18.09
197,1782041859011,20.163,74.0,2500.3,18.09
198,1782041859061,20.291,74.0,2500.1,17.57
199,1782041859113,22.386,73.0,2499.7,17.57
200,1782041859162,21.488,74.0,2500.0,17.15
201,1782041859211,20.016,72.0,2500.0,17.15
202,1782041859260,19.627,73.0,2500.0,17.28
203,1782041859317,24.798,74.0,2499.7,17.28
204,1782041859361,20.460,73.0,2287.4,21.01
205,1782041859416,25.112,75.0,2500.0,21.01
206,1782041859468,27.119,72.0,2499.7,19.13
207,1782041859510,19.252,72.0,2500.1,19.13
208,1782041859560,19.363,71.0,2074.2,17.42
209,1782041859611,19.835,72.0,2500.0,17.42
210,1782041859661,20.008,71.0,2287.6,15.77
211,1782041859709,18.387,72.0,2500.1,15.77
212,1782041859760,19.681,71.0,2499.9,16.30
213,1782041859811,20.236,72.0,2500.4,16.30
214,1782041859863,21.740,72.0,2500.0,15.00
215,1782041859916,24.946,73.0,2500.1,15.00
216,1782041859961,20.664,72.0,2501.5,17.59
217,1782041860009,17.901,71.0,2075.1,17.59
218,1782041860064,22.908,71.0,2500.2,13.88
219,1782041860112,21.437,72.0,2499.7,13.88
220,1782041860159,17.760,72.0,2500.0,15.50
221,1782041860207,16.421,72.0,2499.9,15.50
222,1782041860258,17.452,71.0,2287.4,15.10
223,1782041860310,18.881,71.0,2500.0,15.10
224,1782041860362,20.832,71.0,2499.7,16.19
225,1782041860411,19.720,70.0,2500.1,16.19
226,1782041860459,18.264,72.0,2500.0,13.55
227,1782041860509,18.515,71.0,2500.1,13.55
228,1782041860559,18.563,71.0,2499.9,15.64
229,1782041860611,20.130,72.0,2500.5,15.64
230,1782041860663,21.853,72.0,2499.8,16.01
231,1782041860710,19.691,72.0,2500.1,16.01
232,1782041860761,19.713,69.0,2500.0,14.86
233,1782041860810,18.773,70.0,2499.9,14.86
234,1782041860858,17.555,71.0,2500.1,12.75
235,1782041860915,23.806,72.0,2500.1,12.75
236,1782041860958,17.479,71.0,2499.8,15.59
237,1782041861008,17.199,71.0,2074.8,15.59
238,1782041861058,17.646,71.0,2500.1,14.71
239,1782041861111,19.933,71.0,2500.5,14.71
240,1782041861160,19.411,71.0,2500.3,17.45
241,1782041861210,19.185,70.0,2288.3,17.45
242,1782041861260,18.901,70.0,2287.9,14.33
243,1782041861309,17.955,71.0,2500.6,14.33
244,1782041861358,17.689,72.0,2500.0,16.66
245,1782041861409,18.263,71.0,2287.4,16.66
246,1782041861462,20.995,71.0,2500.8,15.37
247,1782041861511,19.776,73.0,2499.9,15.37
248,1782041861561,19.972,71.0,2499.9,18.27
249,1782041861608,17.604,72.0,2500.0,18.27
250,1782041861661,20.278,71.0,2501.0,15.54
251,1782041861708,17.606,71.0,2499.9,15.54
252,1782041861758,17.060,71.0,2500.2,14.30
253,1782041861810,18.975,71.0,2500.1,14.30
254,1782041861864,23.068,73.0,2500.6,15.71
255,1782041861912,21.565,72.0,2500.0,15.71
256,1782041861961,20.330,71.0,2499.7,16.16
257,1782041862010,18.924,72.0,2500.1,16.16
258,1782041862058,16.972,69.0,2501.0,14.80
259,1782041862113,22.089,71.0,2500.0,14.80
260,1782041862159,18.151,70.0,2500.2,13.11
