tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782044217104,12.896,85.0,2800.2,22.93
2,1782044217154,12.737,86.0,2800.0,19.42
3,1782044217209,18.276,85.0,2800.0,19.42
4,1782044217254,13.667,85.0,2800.0,23.56
5,1782044217307,16.430,85.0,2800.4,23.56
6,1782044217357,15.705,85.0,2799.9,19.28
7,1782044217403,12.356,85.0,2800.2,19.28
8,1782044217454,13.626,85.0,2800.0,20.75
9,1782044217506,15.453,86.0,2800.5,20.75
10,1782044217554,13.113,84.0,2799.7,22.60
11,1782044217606,15.384,83.0,2800.5,22.60
12,1782044217656,15.242,85.0,2800.5,20.06
13,1782044217705,13.767,85.0,2800.0,20.06
14,1782044217754,13.133,85.0,2550.0,19.63
15,1782044217807,15.746,85.0,2799.5,19.63
16,1782044217854,13.458,86.0,2800.1,20.00
17,1782044217904,12.943,85.0,2800.0,20.00
18,1782044217954,13.605,85.0,2550.0,21.12
19,1782044218003,12.420,84.0,2800.0,21.12
20,1782044218052,11.585,82.0,2799.6,17.64
21,1782044218103,12.045,84.0,2799.6,17.64
22,1782044218154,12.818,84.0,2800.0,17.23
23,1782044218204,13.397,85.0,2800.2,17.23
24,1782044218254,13.691,85.0,2800.0,19.50
25,1782044218303,12.553,85.0,2551.6,19.50
26,1782044218354,12.997,84.0,2800.1,18.67
27,1782044218403,12.315,85.0,2800.5,18.67
28,1782044218454,13.155,85.0,2299.9,18.67
29,1782044218505,13.796,84.0,2800.0,18.67
30,1782044218553,11.995,85.0,2550.0,16.70
31,1782044218607,16.597,84.0,2799.9,16.70
32,1782044218653,12.268,84.0,2800.3,20.33
33,1782044218704,12.926,84.0,2800.3,20.33
34,1782044218752,11.494,84.0,2299.9,19.62
35,1782044218803,12.685,85.0,2800.7,19.62
36,1782044218855,13.721,85.0,2800.0,17.93
37,1782044218903,12.280,85.0,2800.1,17.93
38,1782044218954,12.817,81.0,2799.9,19.25
39,1782044219005,13.724,84.0,2800.0,19.25
40,1782044219053,12.494,85.0,2800.5,19.74
41,1782044219102,11.394,84.0,2800.2,19.74
42,1782044219154,13.623,84.0,2800.1,18.66
43,1782044219204,13.604,85.0,2801.9,18.66
44,1782044219254,13.272,84.0,2800.9,19.40
45,1782044219303,11.966,85.0,2800.0,19.40
46,1782044219354,12.784,84.0,2800.1,18.42
47,1782044219403,12.122,82.0,2800.2,18.42
48,1782044219453,11.879,83.0,2800.0,17.68
49,1782044219505,14.682,84.0,2799.9,17.68
50,1782044219557,15.832,85.0,2800.0,20.63
51,1782044219608,17.480,85.0,2549.9,20.63
52,1782044219653,11.853,85.0,2550.1,20.47
53,1782044219705,13.703,85.0,2799.9,20.47
54,1782044219752,11.504,85.0,2800.2,18.76
55,1782044219804,13.301,85.0,2550.2,18.76
56,1782044219853,11.789,85.0,2800.1,19.40
57,1782044219904,12.735,83.0,2800.0,19.40
58,1782044219953,12.194,80.0,2800.0,17.81
59,1782044220005,13.708,80.0,2550.1,17.81
60,1782044220054,13.437,82.0,2800.4,15.57
61,1782044220105,14.291,83.0,2800.7,15.57
62,1782044220153,12.042,84.0,2799.4,19.55
63,1782044220210,18.959,84.0,2800.2,19.55
64,1782044220254,13.429,84.0,2799.9,20.80
65,1782044220304,12.827,85.0,2800.0,20.80
66,1782044220353,12.360,85.0,2800.5,19.01
67,1782044220403,12.606,82.0,2800.4,19.01
68,1782044220453,12.517,83.0,2549.8,16.74
69,1782044220503,12.013,82.0,2799.7,16.74
70,1782044220553,12.382,85.0,2800.3,16.07
71,1782044220605,14.566,85.0,2799.9,16.07
72,1782044220656,15.264,84.0,2800.7,18.99
73,1782044220704,12.750,84.0,2800.3,18.99
74,1782044220753,11.875,84.0,2800.1,18.24
75,1782044220802,11.375,84.0,2799.9,18.24
76,1782044220852,11.502,84.0,2550.0,17.84
77,1782044220904,13.346,84.0,2800.0,17.84
78,1782044220953,12.509,85.0,2800.2,18.83
79,1782044221003,12.679,84.0,2800.1,18.83
80,1782044221055,14.383,85.0,2800.0,19.57
81,1782044221104,13.596,85.0,2800.1,19.57
82,1782044221152,11.271,85.0,2800.3,20.82
83,1782044221204,13.552,85.0,2800.0,20.82
84,1782044221254,12.709,83.0,2549.8,17.52
85,1782044221302,11.519,84.0,2799.8,17.52
86,1782044221352,11.240,84.0,2800.4,18.09
87,1782044221403,12.504,85.0,2550.7,18.09
88,1782044221452,11.561,84.0,2550.0,18.94
89,1782044221503,11.767,84.0,2799.8,18.94
90,1782044221553,11.733,84.0,2800.0,18.08
91,1782044221604,12.707,82.0,2550.2,18.08
92,1782044221651,10.074,83.0,1800.5,16.58
93,1782044221703,11.918,83.0,2299.9,16.58
94,1782044221753,12.073,84.0,2799.6,17.60
95,1782044221800,9.671,82.0,2549.8,17.60
96,1782044221852,11.605,83.0,2800.4,17.66
97,1782044221903,12.373,84.0,2800.0,17.66
98,1782044221954,13.045,85.0,2800.0,21.33
99,1782044222002,11.212,84.0,2801.1,21.33
100,1782044222053,12.404,83.0,2550.1,17.68
101,1782044222102,11.070,82.0,2800.0,17.68
102,1782044222153,12.387,84.0,2800.0,17.02
103,1782044222203,12.509,84.0,2800.1,17.02
104,1782044222254,12.867,84.0,2800.0,19.65
105,1782044222300,9.476,85.0,2550.3,19.65
106,1782044222352,10.730,84.0,2800.0,19.45
107,1782044222401,10.270,84.0,2799.5,19.45
