tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782045224859,17.958,85.0,2549.6,19.35
2,1782045224909,17.904,85.0,2799.8,19.60
3,1782045224962,20.832,84.0,2800.0,19.60
4,1782045225014,23.390,85.0,2799.8,24.19
5,1782045225066,25.598,87.0,2800.4,24.19
6,1782045225111,20.510,87.0,2800.2,26.77
7,1782045225164,23.512,87.0,2800.0,26.77
8,1782045225210,19.087,87.0,2799.9,24.53
9,1782045225260,19.628,87.0,2800.0,24.53
10,1782045225310,19.115,87.0,2799.6,23.68
11,1782045225359,18.207,87.0,2799.7,23.68
12,1782045225415,24.152,84.0,2800.0,21.09
13,1782045225463,21.748,83.0,2800.2,21.09
14,1782045225511,20.453,83.0,2799.7,19.25
15,1782045225559,18.492,84.0,2800.0,19.25
16,1782045225611,19.995,85.0,2799.9,20.53
17,1782045225662,21.279,86.0,2800.6,20.53
18,1782045225711,20.022,85.0,2800.0,21.77
19,1782045225760,19.603,85.0,2800.8,21.77
20,1782045225812,20.865,86.0,2800.1,20.73
21,1782045225862,20.891,86.0,2800.0,20.73
22,1782045225911,20.470,84.0,2800.1,20.73
23,1782045225960,19.056,84.0,2800.9,20.73
24,1782045226012,20.863,85.0,2800.0,19.55
25,1782045226063,22.453,85.0,2800.4,19.55
26,1782045226113,22.295,85.0,2799.0,21.34
27,1782045226161,19.743,85.0,2800.0,21.34
28,1782045226211,20.627,86.0,2800.0,19.56
29,1782045226262,21.590,86.0,2799.9,19.56
30,1782045226313,21.708,84.0,2800.6,21.46
31,1782045226367,26.024,83.0,2800.1,21.46
32,1782045226413,21.936,85.0,2800.2,20.77
33,1782045226464,23.261,87.0,2799.8,20.77
34,1782045226512,20.849,85.0,2800.0,21.01
35,1782045226562,21.330,85.0,2799.9,21.01
36,1782045226615,23.736,86.0,2800.4,20.57
37,1782045226664,23.499,86.0,2800.1,20.57
38,1782045226714,22.931,85.0,2550.2,20.62
39,1782045226761,20.014,81.0,2800.7,20.62
