tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782041045056,14.869,100.0,3299.9,41.81
2,1782041045109,17.973,99.0,3300.1,41.81
3,1782041045154,13.219,100.0,3501.9,37.87
4,1782041045204,13.305,98.0,3695.6,37.87
5,1782041045256,14.708,100.0,3400.0,31.22
6,1782041045310,19.302,100.0,3400.4,31.22
7,1782041045357,15.956,100.0,3400.3,34.87
8,1782041045407,15.837,100.0,3400.5,34.87
9,1782041045454,13.608,100.0,3484.2,35.59
10,1782041045506,15.133,99.0,3612.1,35.59
11,1782041045554,13.635,100.0,3499.9,37.66
12,1782041045605,14.650,100.0,3400.0,37.66
13,1782041045656,14.913,100.0,3300.0,37.71
14,1782041045708,17.471,100.0,3300.0,37.71
15,1782041045755,13.794,100.0,3466.4,38.41
16,1782041045804,13.642,100.0,3500.0,38.41
17,1782041045855,13.903,100.0,3400.2,34.20
18,1782041045912,20.871,92.0,2199.1,34.20
19,1782041045970,28.885,86.0,2199.9,23.44
20,1782041046018,26.945,84.0,2199.9,23.44
21,1782041046066,24.733,82.0,2199.3,15.47
22,1782041046114,23.201,82.0,2199.9,15.47
23,1782041046162,21.533,81.0,2199.9,16.21
24,1782041046213,22.206,81.0,2200.8,16.21
25,1782041046265,24.330,81.0,2199.9,14.83
26,1782041046314,22.712,81.0,2200.0,14.83
27,1782041046364,23.024,81.0,2200.3,15.39
28,1782041046412,21.072,80.0,2200.5,15.39
29,1782041046465,23.973,81.0,2200.4,16.07
30,1782041046515,24.189,80.0,2199.5,16.07
31,1782041046562,20.821,79.0,2199.9,15.97
32,1782041046614,22.843,79.0,2200.1,15.97
33,1782041046662,21.484,79.0,2200.1,15.06
34,1782041046714,23.254,81.0,2199.9,15.06
35,1782041046762,21.073,80.0,2199.9,18.05
36,1782041046813,22.616,80.0,2200.0,18.05
37,1782041046867,26.173,80.0,2199.9,15.46
38,1782041046907,16.541,97.0,3900.0,15.46
39,1782041046956,15.507,100.0,3700.3,38.32
40,1782041047009,17.720,97.0,3877.3,38.32
41,1782041047055,14.191,100.0,3614.9,36.81
42,1782041047107,16.671,100.0,3643.6,36.81
43,1782041047156,15.680,100.0,3830.6,32.82
44,1782041047207,16.015,100.0,3509.8,32.82
45,1782041047257,16.416,100.0,3599.6,36.27
46,1782041047306,15.611,100.0,3416.0,36.27
47,1782041047356,15.151,100.0,3400.2,35.93
48,1782041047406,15.680,100.0,3500.2,35.93
49,1782041047456,14.792,100.0,3504.2,37.38
50,1782041047508,16.799,100.0,3495.0,37.38
51,1782041047557,16.574,100.0,3499.7,37.73
52,1782041047605,14.288,95.0,3900.0,37.73
53,1782041047655,14.584,93.0,3512.5,31.27
54,1782041047709,17.858,100.0,3396.6,31.27
55,1782041047756,14.977,100.0,3500.1,38.33
56,1782041047804,13.376,100.0,3501.2,38.33
57,1782041047855,13.717,100.0,3500.0,38.33
58,1782041047905,13.810,100.0,3500.0,34.59
59,1782041047958,17.482,100.0,3700.0,37.94
60,1782041048008,16.951,100.0,3503.7,37.94
61,1782041048056,15.604,100.0,3513.0,41.75
62,1782041048105,13.836,99.0,3900.0,41.75
63,1782041048155,14.599,100.0,3386.4,41.75
