tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782043007469,27.804,95.0,2500.0,28.44
2,1782043007531,40.109,92.0,2500.0,29.29
3,1782043007564,23.262,94.0,2500.0,29.29
4,1782043007631,39.748,92.0,2499.9,29.40
5,1782043007667,25.956,95.0,2500.0,29.40
6,1782043007715,23.648,95.0,2500.0,28.31
7,1782043007764,23.552,94.0,2500.0,28.31
8,1782043007811,20.166,95.0,2500.1,28.10
9,1782043007861,20.328,95.0,2499.9,28.10
10,1782043007916,25.178,93.0,2500.0,27.57
11,1782043007963,22.448,93.0,2500.0,27.57
12,1782043008012,20.972,94.0,2500.0,29.62
13,1782043008062,21.603,93.0,2500.0,29.62
14,1782043008113,22.260,93.0,2500.0,28.08
15,1782043008161,20.373,93.0,2500.0,28.08
16,1782043008214,22.947,94.0,2500.0,29.09
17,1782043008262,21.105,94.0,2500.0,29.09
18,1782043008311,20.554,93.0,2500.0,27.97
19,1782043008362,21.000,93.0,2500.0,27.97
20,1782043008416,25.638,94.0,2500.0,28.02
21,1782043008465,24.551,94.0,2500.0,28.02
22,1782043008513,22.631,92.0,2500.0,28.76
23,1782043008564,22.905,92.0,2500.0,28.76
24,1782043008616,25.272,94.0,2500.0,27.45
25,1782043008663,22.212,94.0,2500.0,27.45
26,1782043008714,23.574,94.0,2500.0,30.53
27,1782043008764,22.759,94.0,2500.0,30.53
28,1782043008816,25.024,93.0,2500.0,28.69
29,1782043008863,22.575,93.0,2500.6,28.69
30,1782043008914,22.718,95.0,2500.0,28.01
31,1782043008965,24.549,93.0,2500.0,28.01
32,1782043009012,20.793,95.0,2500.0,26.85
33,1782043009064,23.234,95.0,2500.0,26.85
34,1782043009117,26.150,95.0,2500.0,30.28
35,1782043009164,23.001,94.0,2500.0,30.28
36,1782043009213,21.916,95.0,2500.0,28.92
37,1782043009264,23.349,94.0,2500.0,28.92
38,1782043009315,23.858,94.0,2500.0,28.65
39,1782043009363,22.556,94.0,2500.0,28.65
40,1782043009436,41.155,92.0,2500.0,28.15
41,1782043009475,34.141,94.0,2500.0,28.15
42,1782043009547,55.808,93.0,2500.0,29.14
43,1782043009575,27.829,94.0,2500.0,29.14
44,1782043009643,52.247,92.0,2500.0,26.22
45,1782043009673,29.195,93.0,2500.0,26.22
46,1782043009755,64.665,92.0,2500.0,26.93
47,1782043009807,48.372,93.0,2500.0,28.85
48,1782043009865,54.833,92.0,2500.0,28.85
49,1782043009898,32.669,93.0,2500.0,28.85
50,1782043009961,62.410,93.0,2500.0,26.88
51,1782043010001,37.313,90.0,2075.4,28.03
52,1782043010067,36.643,92.0,2500.0,28.03
53,1782043010138,70.174,91.0,2500.0,27.15
54,1782043010177,37.816,92.0,2500.0,27.15
55,1782043010240,62.532,91.0,2500.0,27.53
56,1782043010274,33.022,93.0,2500.0,27.53
57,1782043010346,71.955,91.0,2500.0,26.84
58,1782043010378,31.749,92.0,2500.0,26.84
59,1782043010449,70.478,91.0,2500.0,26.41
60,1782043010498,46.918,93.0,2500.0,26.41
61,1782043010566,67.450,92.0,2500.0,26.03
62,1782043010631,65.021,89.0,2500.0,26.19
63,1782043010673,40.884,92.0,2500.0,26.19
64,1782043010760,86.623,93.0,2500.0,26.03
65,1782043010833,69.028,88.0,2500.0,26.15
66,1782043010876,42.275,93.0,2500.0,26.15
67,1782043010942,65.443,91.0,2500.0,26.80
68,1782043010977,35.052,93.0,2500.0,26.80
69,1782043011039,58.001,90.0,2500.2,26.17
70,1782043011068,28.334,92.0,2500.0,26.17
71,1782043011099,31.025,93.0,2500.0,26.17
72,1782043011143,43.320,92.0,2500.0,26.63
73,1782043011179,33.890,94.0,2500.0,26.63
74,1782043011245,66.046,92.0,2500.0,27.53
75,1782043011294,47.897,94.0,2500.0,27.53
76,1782043011360,66.312,92.0,2500.0,26.29
