tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
127,1782044819914,23.431,84.0,2799.9,18.08
128,1782044819962,20.980,80.0,2300.3,17.83
129,1782044820014,23.192,84.0,2800.0,17.83
130,1782044820063,22.253,83.0,2799.9,18.19
131,1782044820114,23.333,81.0,2800.3,18.19
132,1782044820162,21.472,83.0,2800.1,19.38
133,1782044820212,21.461,83.0,2800.2,19.38
134,1782044820261,19.795,83.0,2800.4,18.70
135,1782044820313,21.978,84.0,2800.1,18.70
136,1782044820363,22.689,84.0,2549.5,17.77
137,1782044820412,21.498,80.0,2800.0,17.77
138,1782044820461,20.494,83.0,2800.0,17.46
139,1782044820511,20.150,84.0,2800.3,17.46
140,1782044820562,21.286,85.0,2800.5,16.81
141,1782044820612,21.329,85.0,2800.1,16.81
142,1782044820663,22.170,82.0,2800.0,17.40
143,1782044820712,20.957,82.0,2800.0,17.40
144,1782044820762,21.423,84.0,2801.3,17.68
145,1782044820813,22.307,85.0,2799.7,17.68
146,1782044820863,21.894,85.0,2800.1,19.08
147,1782044820915,24.413,84.0,2800.0,19.08
148,1782044820961,20.625,80.0,2800.0,18.91
149,1782044821012,21.201,84.0,2800.0,18.91
150,1782044821063,22.046,85.0,2800.2,16.52
151,1782044821111,20.658,81.0,2800.0,16.52
152,1782044821161,20.239,82.0,2300.1,16.99
153,1782044821211,20.301,84.0,2800.1,16.99
154,1782044821261,20.435,85.0,2549.9,17.77
155,1782044821313,22.148,85.0,2800.1,17.77
156,1782044821364,22.958,82.0,2800.2,18.29
157,1782044821412,21.197,85.0,2800.4,18.29
158,1782044821463,21.853,84.0,2800.1,18.30
159,1782044821512,21.026,84.0,2800.2,18.30
160,1782044821561,19.980,85.0,2799.5,17.90
161,1782044821611,20.274,85.0,2799.9,17.90
162,1782044821663,22.036,82.0,2801.2,17.46
163,1782044821712,20.795,82.0,2800.0,17.46
164,1782044821762,21.076,84.0,2799.9,18.58
165,1782044821813,21.805,85.0,2550.0,18.58
166,1782044821863,22.670,85.0,2800.0,18.04
167,1782044821915,23.752,86.0,2800.0,18.04
168,1782044821961,19.773,85.0,2799.9,18.04
169,1782044822012,20.851,84.0,2800.0,18.80
170,1782044822061,19.899,84.0,2800.2,18.80
171,1782044822110,19.171,86.0,2799.7,17.19
172,1782044822162,20.740,83.0,2799.9,17.19
173,1782044822211,20.300,84.0,2800.0,17.05
174,1782044822262,21.363,86.0,2800.1,17.05
175,1782044822312,20.951,86.0,2801.3,17.57
176,1782044822358,17.595,85.0,2550.0,17.57
177,1782044822409,18.642,86.0,2800.1,17.26
178,1782044822458,16.891,86.0,2300.0,17.26
179,1782044822508,17.343,82.0,2799.7,16.91
180,1782044822560,19.083,82.0,2800.5,16.91
181,1782044822611,20.053,82.0,2799.9,19.18
182,1782044822662,21.297,82.0,2800.2,19.18
183,1782044822710,18.791,84.0,2800.0,20.72
184,1782044822760,19.422,86.0,2800.0,20.72
185,1782044822812,20.746,86.0,2550.0,18.12
186,1782044822863,22.325,87.0,2800.1,18.12
187,1782044822911,19.773,86.0,2800.0,17.21
188,1782044822959,18.194,86.0,2550.0,17.21
189,1782044823017,25.747,82.0,2799.9,16.70
190,1782044823063,22.617,81.0,2800.3,16.70
191,1782044823114,23.413,83.0,2800.1,20.82
192,1782044823164,23.219,85.0,2800.2,20.82
193,1782044823213,22.430,85.0,2800.1,20.29
194,1782044823260,18.716,85.0,2800.0,20.29
195,1782044823313,21.969,85.0,2799.9,20.24
196,1782044823361,20.487,82.0,2800.1,20.24
197,1782044823410,19.335,84.0,2800.1,18.12
198,1782044823462,21.071,84.0,2550.4,18.12
199,1782044823510,18.968,85.0,2550.0,17.61
200,1782044823561,20.075,86.0,2800.0,17.61
201,1782044823612,21.284,86.0,2550.0,17.06
202,1782044823663,21.793,82.0,2800.0,17.06
203,1782044823716,25.480,86.0,2800.0,17.60
204,1782044823762,21.144,88.0,2800.5,17.60
205,1782044823813,22.033,86.0,2799.7,23.30
206,1782044823862,21.176,86.0,2800.2,23.30
207,1782044823911,20.515,86.0,2549.6,19.43
208,1782044823960,19.329,86.0,2800.4,19.43
209,1782044824010,19.231,80.0,2800.3,17.46
210,1782044824061,19.865,82.0,2799.9,17.46
211,1782044824112,20.821,84.0,2799.7,17.58
212,1782044824162,21.471,84.0,2800.0,17.58
213,1782044824213,22.045,85.0,2800.0,18.33
214,1782044824260,19.546,85.0,2799.8,18.33
215,1782044824313,22.564,84.0,2800.1,20.71
216,1782044824363,22.651,84.0,2800.8,20.71
217,1782044824414,23.422,88.0,2801.8,19.61
218,1782044824461,20.422,85.0,2800.3,19.61
219,1782044824513,21.730,86.0,2800.1,18.14
220,1782044824561,20.556,86.0,2800.3,18.14
221,1782044824615,24.035,87.0,2800.0,17.52
222,1782044824661,20.576,87.0,2800.0,17.52
223,1782044824716,24.851,82.0,2800.2,18.89
224,1782044824762,20.945,82.0,2800.1,18.89
225,1782044824814,23.683,82.0,2799.9,22.30
226,1782044824862,21.488,83.0,2800.1,22.30
227,1782044824913,22.417,85.0,2800.0,19.32
228,1782044824960,19.020,86.0,2798.8,19.32
229,1782044825012,20.795,86.0,2800.0,18.72
230,1782044825061,20.658,86.0,2799.8,18.72
231,1782044825111,19.970,82.0,2800.0,17.77
232,1782044825161,20.318,85.0,2550.2,17.77
233,1782044825211,20.422,86.0,2800.2,17.27
234,1782044825261,20.322,86.0,2550.3,17.27
235,1782044825312,21.679,86.0,2800.9,17.56
236,1782044825362,21.507,82.0,2300.0,17.56
237,1782044825412,21.086,84.0,2550.0,17.53
238,1782044825461,20.280,86.0,2550.1,17.53
239,1782044825511,19.733,86.0,2800.4,17.78
240,1782044825562,20.981,86.0,2798.2,17.78
241,1782044825613,22.594,84.0,2799.4,16.80
242,1782044825665,24.350,84.0,2800.7,16.80
243,1782044825713,21.776,84.0,2799.3,18.44
244,1782044825763,22.077,86.0,2799.9,18.44
245,1782044825811,20.598,86.0,2800.0,18.64
246,1782044825862,20.928,86.0,2799.9,18.64
247,1782044825915,24.569,83.0,2800.1,17.05
248,1782044825963,22.051,80.0,2799.6,17.05
249,1782044826017,26.330,82.0,2801.3,18.22
250,1782044826063,21.787,85.0,2799.9,18.22
251,1782044826112,20.824,81.0,2799.7,18.83
252,1782044826162,21.484,82.0,2549.9,18.83
253,1782044826211,20.684,83.0,2800.2,16.55
254,1782044826262,21.096,80.0,2799.2,16.55
255,1782044826313,22.448,82.0,2800.5,17.94
256,1782044826364,22.980,82.0,2800.9,17.94
257,1782044826411,20.673,82.0,2800.2,17.19
258,1782044826461,20.644,82.0,2801.2,17.19
259,1782044826512,21.376,83.0,2800.2,17.28
260,1782044826565,24.090,82.0,2800.2,17.28
261,1782044826613,22.227,82.0,2799.5,19.37
262,1782044826666,24.996,86.0,2800.0,19.37
263,1782044826713,22.480,85.0,2800.8,16.33
264,1782044826763,22.650,81.0,2800.1,16.33
265,1782044826814,23.637,84.0,2799.4,18.50
266,1782044826862,21.199,80.0,2550.1,18.50
267,1782044826915,24.015,85.0,2806.7,17.36
268,1782044826963,21.994,82.0,2800.7,17.36
269,1782044827013,22.479,85.0,2800.0,17.86
270,1782044827063,21.804,84.0,2799.8,17.86
271,1782044827114,23.521,84.0,2799.8,17.84
272,1782044827162,21.565,85.0,2550.2,17.84
273,1782044827211,20.553,86.0,2549.9,17.07
274,1782044827269,28.414,86.0,2800.5,17.07
275,1782044827314,23.398,82.0,2800.2,22.44
276,1782044827364,23.247,83.0,2800.0,22.44
277,1782044827416,24.846,82.0,2800.0,18.78
278,1782044827463,22.245,84.0,2801.0,18.78
279,1782044827512,21.445,84.0,2800.4,19.88
280,1782044827564,22.773,82.0,2800.0,19.88
281,1782044827614,22.809,85.0,2800.2,20.31
282,1782044827663,22.375,82.0,2799.8,20.31
283,1782044827716,25.113,84.0,2799.6,19.83
284,1782044827762,20.999,85.0,2799.9,19.83
285,1782044827813,22.414,84.0,2800.6,20.19
286,1782044827862,21.155,83.0,2299.8,20.19
287,1782044827915,24.160,85.0,2800.5,18.10
288,1782044827962,21.290,82.0,2800.2,18.10
289,1782044828013,22.351,82.0,2799.5,18.71
290,1782044828064,23.012,80.0,2799.9,18.71
291,1782044828113,22.315,81.0,2800.1,16.61
292,1782044828164,23.468,82.0,2800.0,16.61
293,1782044828213,21.940,83.0,2799.9,20.25
294,1782044828261,20.420,84.0,2800.0,20.25
295,1782044828313,22.344,84.0,2800.5,20.22
296,1782044828362,21.271,84.0,2800.8,20.22
297,1782044828412,20.998,85.0,2550.0,17.47
298,1782044828462,21.355,85.0,2800.2,17.47
299,1782044828516,25.406,84.0,2800.1,17.25
300,1782044828562,20.891,82.0,2800.0,17.25
301,1782044828613,22.558,85.0,2800.0,16.03
302,1782044828662,21.451,84.0,2800.0,16.03
303,1782044828715,24.391,85.0,2800.0,19.31
304,1782044828762,21.143,82.0,2800.0,19.31
305,1782044828820,28.937,84.0,2800.0,22.18
306,1782044828874,33.045,88.0,2800.0,22.18
307,1782044828918,26.941,88.0,2800.0,28.76
308,1782044828962,20.860,85.0,2800.0,28.76
309,1782044829020,29.043,86.0,2800.0,25.79
310,1782044829065,24.645,87.0,2800.7,25.79
311,1782044829117,25.983,88.0,2800.1,29.76
312,1782044829167,26.019,87.0,2799.9,29.76
313,1782044829213,22.601,85.0,2799.6,26.42
314,1782044829262,21.100,85.0,2800.4,26.42
315,1782044829313,22.227,84.0,2800.0,22.69
316,1782044829362,20.893,84.0,2799.8,22.69
317,1782044829412,21.142,83.0,2800.0,19.94
318,1782044829462,21.233,85.0,2550.1,19.94
319,1782044829511,19.937,85.0,2551.1,17.76
320,1782044829565,23.727,81.0,2550.0,17.76
321,1782044829612,21.146,81.0,2551.1,17.37
322,1782044829664,23.125,84.0,2050.6,17.37
323,1782044829713,22.271,85.0,2299.9,17.36
324,1782044829762,21.478,85.0,2799.7,17.36
325,1782044829814,23.324,85.0,2800.1,17.80
326,1782044829861,20.550,85.0,2799.6,17.80
327,1782044829912,21.196,82.0,2800.2,21.43
328,1782044829963,22.641,82.0,2550.2,21.43
329,1782044830012,21.681,84.0,2549.9,18.73
330,1782044830076,21.301,86.0,2799.7,18.73
331,1782044830111,20.036,85.0,2799.3,25.41
332,1782044830163,21.780,86.0,2800.0,25.41
333,1782044830210,19.494,82.0,2799.8,17.21
334,1782044830261,20.495,84.0,2800.1,17.21
335,1782044830311,19.853,80.0,2800.1,17.57
336,1782044830362,21.191,83.0,2801.9,17.57
337,1782044830410,19.480,82.0,2799.9,16.89
338,1782044830461,20.062,84.0,2800.3,16.89
339,1782044830510,19.153,85.0,2799.9,17.59
340,1782044830562,20.733,84.0,2800.2,17.59
341,1782044830612,21.132,81.0,2800.2,17.39
342,1782044830665,24.608,84.0,2799.8,17.39
343,1782044830712,21.056,84.0,2800.0,17.22
344,1782044830762,20.760,84.0,2800.0,17.22
345,1782044830813,22.300,86.0,2799.4,18.12
346,1782044830861,20.277,85.0,2800.0,18.12
347,1782044830912,21.295,86.0,2800.3,18.00
348,1782044830961,20.349,82.0,2800.6,18.00
349,1782044831012,20.960,84.0,2800.0,17.78
350,1782044831065,24.350,84.0,2799.9,17.78
351,1782044831112,21.226,85.0,2800.0,17.25
352,1782044831163,22.208,85.0,2550.0,17.25
353,1782044831215,24.287,85.0,2799.8,16.34
354,1782044831262,21.198,86.0,2549.5,16.34
355,1782044831312,21.309,85.0,2799.9,15.91
356,1782044831363,21.701,85.0,2799.7,15.91
357,1782044831412,21.645,83.0,2800.1,16.43
358,1782044831462,21.439,84.0,2800.0,16.43
359,1782044831513,22.293,85.0,2800.7,16.29
360,1782044831561,20.505,85.0,2798.8,16.29
361,1782044831611,20.413,85.0,2550.2,15.95
362,1782044831664,23.491,86.0,2800.0,15.95
363,1782044831715,24.412,85.0,2800.0,17.83
364,1782044831765,24.279,86.0,2800.8,17.83
365,1782044831813,22.445,86.0,2800.1,18.04
366,1782044831863,22.003,86.0,2550.4,18.04
367,1782044831913,21.707,85.0,2799.9,16.61
368,1782044831963,21.840,85.0,2800.1,16.61
369,1782044832011,20.380,83.0,2550.3,16.57
370,1782044832065,23.965,86.0,2550.1,16.57
371,1782044832112,21.444,85.0,2299.7,16.05
372,1782044832161,20.311,85.0,2800.1,16.05
373,1782044832212,21.390,85.0,2549.9,15.61
374,1782044832261,20.064,85.0,2800.7,15.61
375,1782044832314,22.841,86.0,2800.0,16.41
376,1782044832362,21.139,85.0,2550.8,16.41
377,1782044832413,22.503,85.0,2800.0,16.45
378,1782044832461,20.032,82.0,2799.6,16.45
379,1782044832511,20.678,82.0,2799.9,17.50
380,1782044832561,20.096,84.0,2800.1,17.50
381,1782044832611,19.768,85.0,2800.1,20.33
382,1782044832663,21.699,85.0,2799.7,20.33
383,1782044832712,20.699,83.0,2800.0,19.11
384,1782044832760,18.895,83.0,2800.2,19.11
385,1782044832811,20.425,83.0,2800.1,18.57
386,1782044832860,19.365,84.0,2800.0,18.57
387,1782044832913,22.499,85.0,2799.9,17.70
388,1782044832963,22.321,86.0,2799.8,17.70
389,1782044833015,24.014,83.0,2800.0,18.97
390,1782044833063,21.781,82.0,2800.0,18.97
391,1782044833110,19.525,84.0,2550.0,17.39
392,1782044833161,20.107,83.0,2800.8,17.39
393,1782044833210,18.867,84.0,2800.0,16.71
394,1782044833258,17.699,85.0,2549.9,16.71
395,1782044833311,20.226,86.0,2800.0,16.82
396,1782044833361,20.262,82.0,2800.1,16.82
397,1782044833412,21.549,85.0,2800.8,16.41
398,1782044833461,19.770,85.0,2799.9,16.41
399,1782044833510,19.339,86.0,2799.8,15.85
400,1782044833561,20.653,86.0,2800.0,15.85
401,1782044833614,23.109,85.0,2800.2,16.08
402,1782044833661,20.399,85.0,2300.1,16.08
403,1782044833711,19.935,83.0,2799.5,17.04
404,1782044833760,19.577,83.0,2800.4,17.04
405,1782044833813,22.572,86.0,2800.2,16.99
406,1782044833862,21.246,86.0,2799.8,16.99
407,1782044833914,23.634,85.0,2800.5,19.34
408,1782044833968,26.821,85.0,2800.0,19.34
409,1782044834013,22.551,85.0,2800.3,25.72
410,1782044834062,21.104,85.0,2799.9,25.72
411,1782044834109,18.085,83.0,2800.9,25.72
412,1782044834160,18.979,82.0,2550.1,19.68
413,1782044834210,19.608,80.0,2800.5,19.68
414,1782044834260,19.383,83.0,2550.4,17.33
415,1782044834310,19.469,84.0,2800.5,17.33
416,1782044834360,19.510,82.0,2799.5,17.11
417,1782044834411,19.954,81.0,2800.2,17.11
418,1782044834460,18.921,82.0,2300.1,17.38
419,1782044834509,18.028,83.0,2800.5,17.38
420,1782044834560,18.776,84.0,2550.0,17.36
421,1782044834610,19.684,84.0,2799.9,17.36
422,1782044834665,24.493,82.0,2800.1,17.18
423,1782044834714,23.060,85.0,2800.5,19.58
424,1782044834765,23.842,84.0,2799.4,19.58
