tick,timestamp_ms,mspt,cpu_temp_c,cpu_freq_mhz,cpu_power_w
1,1782040019620,12.078,100.0,3611.5,-1.00
2,1782040019669,10.820,100.0,3599.0,-1.00
3,1782040019720,12.398,100.0,3719.2,-1.00
4,1782040019771,13.248,100.0,3590.3,-1.00
5,1782040019824,15.773,99.0,3638.5,-1.00
6,1782040019870,12.329,99.0,3626.8,-1.00
7,1782040019919,11.312,100.0,3599.7,-1.00
8,1782040019975,17.115,99.0,3600.6,-1.00
9,1782040020022,14.559,100.0,2900.6,-1.00
10,1782040020070,11.892,96.0,2979.7,-1.00
11,1782040020121,12.926,100.0,3163.6,-1.00
12,1782040020171,13.557,100.0,3606.3,-1.00
13,1782040020220,12.527,100.0,3209.4,-1.00
14,1782040020270,12.681,100.0,3587.4,-1.00
15,1782040020322,14.143,100.0,3562.8,-1.00
16,1782040020374,16.110,100.0,3592.2,-1.00
17,1782040020419,11.478,99.0,3783.2,-1.00
18,1782040020469,11.693,100.0,3604.4,-1.00
19,1782040020520,12.694,100.0,3654.9,-1.00
20,1782040020570,12.517,100.0,3625.0,-1.00
21,1782040020622,14.026,100.0,3511.8,-1.00
22,1782040020671,13.619,100.0,3499.2,-1.00
23,1782040020721,12.812,100.0,3473.8,-1.00
24,1782040020770,12.613,100.0,3485.1,-1.00
25,1782040020822,13.877,99.0,3614.7,-1.00
26,1782040020908,50.460,79.0,800.0,-1.00
27,1782040020956,46.045,76.0,800.0,-1.00
28,1782040021009,51.485,75.0,800.0,-1.00
29,1782040021058,47.227,74.0,800.0,-1.00
30,1782040021122,62.915,73.0,800.0,-1.00
31,1782040021176,51.926,73.0,800.0,-1.00
32,1782040021228,50.985,73.0,800.0,-1.00
33,1782040021278,48.368,73.0,800.0,-1.00
34,1782040021326,46.756,73.0,800.0,-1.00
35,1782040021489,161.653,72.0,800.0,-1.00
36,1782040021521,30.740,82.0,3497.2,-1.00
37,1782040021533,10.985,90.0,3817.2,-1.00
38,1782040021543,10.430,93.0,3900.1,-1.00
39,1782040021555,10.949,95.0,3900.8,-1.00
40,1782040021571,12.759,97.0,3900.1,-1.00
41,1782040021620,11.819,100.0,3800.0,-1.00
42,1782040021671,13.236,100.0,3359.9,-1.00
43,1782040021720,12.201,100.0,3720.5,-1.00
44,1782040021769,11.685,100.0,2950.1,-1.00
45,1782040021819,11.438,100.0,3724.1,-1.00
46,1782040021871,12.938,100.0,3716.2,-1.00
47,1782040021922,14.139,100.0,3325.3,-1.00
48,1782040021969,11.706,100.0,3600.7,-1.00
49,1782040022020,12.308,100.0,3599.4,-1.00
50,1782040022070,12.648,100.0,2937.3,-1.00
51,1782040022119,11.455,99.0,3124.5,-1.00
52,1782040022168,10.519,96.0,3877.1,-1.00
53,1782040022219,11.749,100.0,3623.8,-1.00
54,1782040022271,13.586,100.0,3649.1,-1.00
55,1782040022321,13.035,100.0,3601.1,-1.00
56,1782040022371,12.968,100.0,3574.5,-1.00
57,1782040022420,11.914,100.0,3589.2,-1.00
58,1782040022470,12.375,100.0,3650.6,-1.00
59,1782040022519,11.318,100.0,3634.1,-1.00
60,1782040022570,11.978,100.0,3600.0,-1.00
61,1782040022620,11.953,100.0,3599.9,-1.00
62,1782040022670,12.147,99.0,3278.5,-1.00
63,1782040022721,12.748,100.0,3600.0,-1.00
64,1782040022769,11.548,97.0,3899.8,-1.00
65,1782040022820,12.099,100.0,3390.9,-1.00
